N,P,K,temperature,humidity,ph,rainfall,label
74.98,30.94,49.26,20.41,76.55,6.55,175.34,rice
98.03,49.09,32.52,24.25,88.54,6.3,191.79,rice
89.28,39.43,34.85,24.33,82.58,5.96,176.55,rice
83.95,45.26,56.96,25.1,87.4,6.72,163.31,rice
66.24,57.23,48.19,25.81,79.8,6.53,168.1,rice
66.24,37.48,30.28,27.81,88.43,5.74,219.12,rice
62.32,42.31,33.04,24.13,80.84,6.87,180.95,rice
94.65,52.67,49.91,22.58,75.16,6.73,204.64,rice
84.04,36.86,30.15,26.36,88.58,6.92,225.51,rice
88.32,32.31,34.82,22.17,76.37,6.59,253.56,rice
60.82,38.69,46.46,23.51,79.79,6.42,155.9,rice
98.8,34.84,50.76,20.63,89.25,6.13,269.91,rice
93.3,57.89,49.56,20.2,89.26,6.9,244.19,rice
68.49,54.24,36.73,27.7,83.6,6.8,162.26,rice
67.27,49.0,51.37,26.69,84.48,5.57,281.04,rice
67.34,56.14,37.12,25.57,81.73,5.54,288.13,rice
72.17,54.11,39.76,23.27,79.4,6.06,159.16,rice
80.99,35.6,52.39,21.39,79.93,6.72,191.53,rice
77.28,56.78,49.49,21.25,85.09,6.98,270.93,rice
71.65,46.18,55.48,22.0,86.29,5.73,262.24,rice
84.47,54.22,49.73,24.39,86.87,6.39,177.68,rice
65.58,56.88,47.05,25.72,86.84,6.07,181.4,rice
71.69,39.54,32.81,25.28,76.37,6.95,205.57,rice
74.65,33.3,41.03,22.24,82.42,6.76,222.68,rice
78.24,36.84,37.96,27.64,75.86,6.76,242.74,rice
91.41,42.81,37.32,25.9,83.24,6.2,205.34,rice
67.99,54.54,59.19,24.43,81.62,6.12,219.38,rice
80.57,55.82,41.79,24.89,88.32,5.91,262.12,rice
83.7,30.21,56.76,23.36,80.26,5.58,155.5,rice
61.86,45.32,48.93,21.98,76.76,6.8,187.87,rice
84.3,42.52,53.84,22.85,77.14,6.72,257.0,rice
66.82,36.66,45.08,26.06,86.42,7.0,284.28,rice
62.6,33.6,47.31,20.12,84.27,6.99,226.75,rice
97.96,40.13,44.78,20.93,76.52,6.33,229.82,rice
98.63,58.29,35.86,20.37,76.26,6.65,166.08,rice
92.34,39.7,51.67,20.33,85.51,6.92,217.11,rice
72.18,45.56,38.42,26.84,76.09,6.77,229.89,rice
